	JvRad_Rhipp_504	JvRad_Rhipp_503	JvRad_Rhipp_402	JvRad_Rhipp_401	JvRad_Rhipp_400	JvRad_Rhipp_203	JvRad_Rhipp_202	JvRad_Rhipp_201	JvRad_Rhipp_200
4933401J01Rik	0	0	0	0	0	0	0	0	0
Gm26206	0	0	0	0	0	0	0	0	0
Xkr4	1	7	1	5	8	0	1	1	3
Gm18956	0	0	0	0	0	0	0	0	0
Gm37180	0	0	0	0	0	0	0	0	0
Gm37363	0	0	0	0	0	0	0	0	0
Gm37686	0	0	0	0	0	0	0	0	0
Gm1992	0	0	0	0	0	0	0	0	0
Gm37329	0	0	0	0	0	0	0	0	0
Gm7341	0	0	0	0	1	0	0	0	0
Gm38148	0	0	0	0	0	0	0	0	0
Gm19938	0	0	0	0	0	0	0	0	0
Gm10568	0	0	0	0	0	0	0	0	0
Gm38385	0	0	0	0	0	0	0	0	0
Gm27396	0	0	0	0	0	0	0	0	0
Gm37381	0	0	0	0	0	0	0	0	0
Rp1	0	0	0	0	0	0	0	0	0
Gm6101	0	0	0	0	0	0	0	0	0
Gm37483	0	0	0	0	0	0	0	0	0
Sox17	1	2	2	1	2	0	0	1	1
Gm37587	0	0	0	0	0	0	0	0	0
Gm7357	0	0	0	0	0	0	0	0	0
Gm22307	0	0	0	0	0	0	0	0	0
Gm38076	0	0	0	0	0	0	0	0	0
Gm37323	0	0	0	0	0	0	0	0	0
Gm7369	0	0	0	0	0	1	3	0	1
Gm6085	1	3	3	1	5	1	3	1	2
Gm6119	0	0	0	0	0	0	0	0	0
Gm56275	0	0	0	0	0	0	0	0	0
Gm2053	0	0	0	0	0	0	0	0	0
Gm6123	6	1	3	1	4	6	3	4	2
Mrpl15	6	10	7	4	11	5	2	0	3
Gm37144	0	0	0	0	1	1	0	0	0
A930006A01Rik	0	0	0	0	0	0	0	0	0
Lypla1	3	1	1	2	6	2	3	0	0
Gm37988	0	0	0	0	0	0	0	0	0
Tcea1	4	10	10	5	11	1	5	3	4
Gm6104	0	2	0	0	1	0	0	0	0
Gm37277	0	2	0	0	0	0	0	0	0
Rgs20	4	10	9	5	14	2	4	2	4
Gm17100	0	0	0	0	0	0	0	0	0
Gm37079	0	0	0	0	0	0	0	0	0
Gm16041	0	0	0	0	0	0	0	0	0
Gm17101	0	0	0	0	0	0	0	0	0
Atp6v1h	16	21	13	15	39	8	11	11	13
Gm7182	0	0	0	0	0	0	0	0	0
Gm37567	0	0	0	0	0	0	1	0	1
Gm38264	0	0	0	0	0	0	0	0	0
Oprk1	0	0	0	0	0	0	0	0	0
Gm36965	0	0	0	0	0	0	0	0	0
Gm56304	0	0	0	0	0	0	0	0	0
Gm37429	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0
