class	IR	IR	IR	IR	IR	IR	IR	IR	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	sham	sham	sham	sham	sham	sham	sham	sham
subclass	IR_subcl	IR_subcl	IR_subcl	IR_subcl	IR_subcl	IR_subcl	IR_subcl	IR_subcl	IR+HLU_subcl	IR+HLU_subcl	IR+HLU_subcl	IR+HLU_subcl	IR+HLU_subcl	IR+HLU_subcl	IR+HLU_subcl	IR+HLU_subcl	IR+HLU_subcl	IR+HLU_subcl	sham_subcl	sham_subcl	sham_subcl	sham_subcl	sham_subcl	sham_subcl	sham_subcl	sham_subcl
subject	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	sham	sham	sham	sham	sham	sham	sham	sham
d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	25.7566001288	1055.88931367	1262.98772376	440.866398313	197.606142728	1462.94994216	850.087707462	0.0	31.3204710599	0.0	0.0	0.0	0.0	0.0	0.0	45.9340692992	92.0534830737	1803.6136117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia	2240.8242112	35299.4720553	35431.0156105	7149.70289438	2822.94489612	6861.12182177	11631.358791	8105.70274526	10053.8712102	17025.3996816	575.484366008	2688.08850493	18071.9941229	30368.9561781	6233.4869783	25830.2583026	11725.3124065	14923.7055481	8097.28786009	4240.74665531	26763.750861	38247.3733276	22470.6602147	2037.99881665	38968.5643923	57839.6837775
d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	23129.4269156	12033.4971782	1970.26084906	9699.06076289	18603.2068654	9991.15425616	4776.6833086	2724.72102417	17883.9889752	49.4349584252	15058.5075772	10348.3638398	12733.6543956	10389.3797451	8372.31645526	6078.60850393	16949.3475709	5793.90921279	4349.65834863	10468.7888144	7650.30010824	11741.2885182	13219.1260174	4536.19091447	22743.7346081	2904.08454113
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	21223.4385061	11669.3974149	15745.2469562	19014.7594403	15272.131888	9821.04379777	13533.936041	8721.84569042	19434.3522927	39.5479667402	20605.5374385	17122.9683955	7901.39580442	27394.2192426	20427.5371436	15985.0561161	16109.3595379	20478.1970248	2679.02832546	2430.88825012	6690.93771524	5442.31399128	10326.8628214	4601.93281178	10164.662707	6856.86627766
d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.f__Oscillospiraceae_x__L6	1442.36960721	3841.25250319	8857.75390263	3354.41824804	2343.04426378	2653.7231509	1322.35865605	4532.07366331	1519.0428464	385.592675717	3325.02078138	4490.50623077	1763.12137785	18499.6078083	6530.86433874	4256.55708839	2324.35044761	8682.88322799	4289.45546492	3903.61616807	4132.63800059	4535.2616594	4505.25613215	2024.85043718	6784.48983534	5888.83809729
d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	80927.2376046	23375.2048061	42604.7858815	247517.730496	49514.4534779	5284.76490735	305343.408447	84343.1231601	214341.643698	775733.367608	98215.9984654	117265.918767	76924.3327075	17641.226006	96727.7052762	119321.400683	371792.511449	14811.9772713	10987.0262786	23066.8228113	22409.7215389	32880.6470307	25121.9014776	79140.0959832	12603.215993	18957.2185324
d__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales	1519.6394076	1110.50427817	1380.86657798	1418.43971631	1919.60252936	601.056952981	283.362569154	424.45402889	516.787772488	0.0	1806.38148219	1196.43245595	914.211084809	340.392783673	1189.50944173	704.322395921	978.068257658	654.40847858	722.434604618	674.260974485	1475.94214307	1788.90876565	667.445352912	710.01249096	772.610942102	564.683105219
d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__uncultured	11925.3058596	31804.1143273	23592.6106798	11596.7030861	8158.31074977	9276.69033092	8163.54068277	24002.1907305	14579.6792784	247.174792126	7864.95300211	13906.5850399	2301.85290997	25662.6559517	10797.0857019	18496.1185711	12956.5277426	23494.8604993	21913.8496734	11143.0497888	25828.9875037	21769.2559651	31610.9535198	5824.73210177	25858.3224685	14466.6433623
