TreatmentGroup	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR	IR	IR	IR	sham	sham	sham	sham	IR	IR	IR	IR	sham	sham	sham	sham
Dose-Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	sham	sham	sham	sham	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	sham	sham	sham	sham
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Oscillibacter	0.0028570516503862607	0.0026810576945205163	0.003368498415274609	0.001246697395660578	0.006437863517293433	0.00032650395886050116	0.0028279312595170763	0.0027015793848711553	0.0	0.002411676271611125	0.005161908673923461	0.0020914856294697074	0.0016330604005534261	0.001524390243902439	0.0027427465110651	0.00263170602153653	0.0008677930445072645	0.0038007304818584646	0.002568525972781292	0.0030648502096559623	0.002931003094847988	0.001210560206052801	0.0021416513391619846	0.0025828987503689854	0.0014727279179530856	0.0029499413021883748
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_NK4A136_group	0.2282289472004086	0.039732584631671	0.1342652845615593	0.14230650455787994	0.41963030383755867	0.009011509264549833	0.1182137418813512	0.04693394718332374	0.0012062129855748792	0.08976447005762966	0.18414458821113164	0.05329914991229254	0.0808364898273946	0.060580397470641374	0.08666541181532174	0.1269737795161524	0.016619551640260338	0.12581344902386118	0.06881349434540925	0.23734065304885235	0.22419442927362096	0.0795363811976819	0.09249414195368993	0.07601102036800157	0.07470101848894567	0.07657806808946148
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|f__Lachnospiraceae_x__L6	0.17313094554044564	0.06726808275608129	0.09162315689546938	0.050760027907721515	0.09807752075655995	0.01229287405109787	0.048774045184747816	0.040156020205895517	0.0016709015947717588	0.0355174141819093	0.0750188265899911	0.030481716367561733	0.08844609766608451	0.035936088527551945	0.07391970744037216	0.08720846008981602	0.018578660180132798	0.12753768285221648	0.04493003641939812	0.19247932910092114	0.15940287638813036	0.04535737282678686	0.11179419990425558	0.0704516382957788	0.02807054899038291	0.05187983504409861
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae	0.3108280661431399	0.12656203254090626	0.35657086861325044	0.4090196840937425	0.1470200831742367	0.46575789731450495	0.48248857950837504	0.6066404501566597	0.0294928961964743	0.08093209721874217	0.4365167385500103	0.37194710565375794	0.4608745945700742	0.584180216802168	0.413643819408965	0.45489883625476846	0.6190520018407731	0.37858983629048704	0.2040828062104658	0.17715507805264133	0.2590387766247952	0.39119124275595624	0.4563229106301494	0.44903079799271867	0.6309840661485503	0.5576442611601096
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnoclostridium	0.01589733767477495	0.01582169240328631	0.01486732709650748	0.010636959430865482	0.009249803904157233	0.0034119663700922375	0.008794555455421238	0.005083445233071168	0.0023135560542993584	0.004979954898521674	0.009420141028274116	0.007043583861827014	0.006214702079883871	0.004714317976513099	0.007932453144747102	0.024216524216524215	0.002485043718361712	0.023026864675454697	0.019513130151428023	0.02051092063385144	0.015255780083742945	0.005357372826786864	0.023910907304290862	0.02464823378923546	0.0049150076297952375	0.01574305409229102
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__uncultured	0.023494860499265784	0.012956527742618462	0.018496118571144218	0.010797085701867758	0.025662655951693824	0.002301852909966533	0.013906585039932876	0.00786495300211011	0.00024717479212599985	0.014579679278376346	0.024002190730471693	0.008163540682768857	0.009276690330921544	0.008158310749774165	0.014466643362284547	0.02585832246849196	0.005824732101768457	0.03161095351984723	0.011596703086064789	0.023592610679824193	0.03180411432732569	0.011925305859626529	0.021769255965128877	0.025828987503689855	0.011143049788849852	0.021913849673399356
d__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter	0.014811977271276255	0.37179251144915193	0.11932140068288649	0.09672770527616063	0.017641226006008672	0.07692433270753408	0.11726591876689767	0.09821599846537503	0.7757333676082379	0.21434164369832123	0.08434312316012871	0.3053434084469033	0.0052847649073465034	0.04951445347786811	0.01895721853236172	0.012603215993046502	0.07914009598317008	0.025121901477649852	0.2475177304964539	0.042604785881481234	0.023375204806116875	0.08092723760463619	0.03288064703066341	0.022409721538915673	0.02306682281131339	0.010987026278558742
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g___Eubacterium__xylanophilum_group	0.021834897529208964	0.027017697282120914	0.04472447214098697	0.02129679404330272	0.048572570261510455	0.004848583789078442	0.014590260729046895	0.010774346185817508	0.0005536715343622396	0.015018165873214733	0.01541726569453002	0.01164485224666037	0.02565265712536007	0.011009485094850948	0.016994272499932777	0.002366121010188807	0.0005785286963381763	0.024250514489126202	0.008299789150852981	0.02408096593301113	0.03772073548152194	0.012131358660656793	0.004762024742371942	0.008954049001279149	0.0016324213066467937	0.0013997170464465248
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_UCG_014|f__Clostridia_UCG_014|g__Clostridia_UCG_014	0.0021547596245929898	0.004349527075230709	0.005052747622911914	0.006267799750660521	0.0033299294054966034	0.007787119418822953	0.013984275459150378	0.010582518063814822	0.0019477373619528786	0.0124185667752443	0.004942835626754296	0.005829172851167184	0.005488897457415682	0.024446702800361337	0.11282906235714862	0.012192766430054566	0.1077772664519098	0.0014275914492834232	0.008108108108108109	0.01951737029116077	0.007245585290369561	0.006104314230521571	0.008717780745294666	0.003074879464724983	0.006760353454700309	0.0034917672556515457
