sample-id	AnimalID	TreatmentGroup	Dose-Gy
7148-49	49	IR+HLU	0.5 Gy
7148-50	50	IR+HLU	0.5 Gy
7148-51	51	IR+HLU	0.5 Gy
7148-52	52	IR+HLU	0.5 Gy
7148-53	53	IR+HLU	0.5 Gy
7148-54	54	IR+HLU	0.5 Gy
7148-55	55	IR+HLU	0.5 Gy
7148-56	56	IR+HLU	0.5 Gy
7148-57	57	IR+HLU	0.5 Gy
7148-59	59	IR+HLU	0.5 Gy
7148-61	61	IR	0.5 Gy
7148-63	63	HLU	0 Gy
7148-64	64	HLU	0 Gy
7148-69	69	HLU	0 Gy
7148-70	70	HLU	0 Gy
7148-71	71	HLU	0 Gy
7148-72	72	HLU	0 Gy
7148-73	73	IR	0.5 Gy
7148-74	74	IR	0.5 Gy
7148-76	76	IR	0.5 Gy
7148-77	77	sham	sham
7148-78	78	sham	sham
7148-79	79	sham	sham
7148-80	80	sham	sham
7148-81	81	IR	0.5 Gy
7148-82	82	IR	0.5 Gy
7148-83	83	IR	0.5 Gy
7148-84	84	IR	0.5 Gy
7148-85	85	HLU	0 Gy
7148-86	86	HLU	0 Gy
7148-87	87	HLU	0 Gy
7148-89	89	sham	sham
7148-90	90	sham	sham
7148-91	91	sham	sham
7148-92	92	sham	sham
