	JvRad_Rhipp_204	JvRad_Rhipp_504	JvRad_Rhipp_503	JvRad_Rhipp_402	JvRad_Rhipp_401	JvRad_Rhipp_400	JvRad_Rhipp_203	JvRad_Rhipp_202	JvRad_Rhipp_201	JvRad_Rhipp_200
4933401J01Rik	0	0	0	0	0	0	0	0	0	0
Gm26206	0	0	0	0	0	0	0	0	0	0
Xkr4	1640	1	7	1	5	8	0	1	1	3
Gm18956	0	0	0	0	0	0	0	0	0	0
Gm37180	6	0	0	0	0	0	0	0	0	0
Gm37363	0	0	0	0	0	0	0	0	0	0
Gm37686	0	0	0	0	0	0	0	0	0	0
Gm1992	0	0	0	0	0	0	0	0	0	0
Gm37329	0	0	0	0	0	0	0	0	0	0
Gm7341	2	0	0	0	0	1	0	0	0	0
Gm38148	0	0	0	0	0	0	0	0	0	0
Gm19938	20	0	0	0	0	0	0	0	0	0
Gm10568	22	0	0	0	0	0	0	0	0	0
Gm38385	0	0	0	0	0	0	0	0	0	0
Gm27396	0	0	0	0	0	0	0	0	0	0
Gm37381	0	0	0	0	0	0	0	0	0	0
Rp1	18	0	0	0	0	0	0	0	0	0
Gm6101	0	0	0	0	0	0	0	0	0	0
Gm37483	0	0	0	0	0	0	0	0	0	0
Sox17	398	1	2	2	1	2	0	0	1	1
Gm37587	6	0	0	0	0	0	0	0	0	0
Gm7357	10	0	0	0	0	0	0	0	0	0
Gm22307	2	0	0	0	0	0	0	0	0	0
Gm38076	0	0	0	0	0	0	0	0	0	0
Gm37323	0	0	0	0	0	0	0	0	0	0
Gm7369	0	0	0	0	0	0	1	3	0	1
Gm6085	4	1	3	3	1	5	1	3	1	2
Gm6119	0	0	0	0	0	0	0	0	0	0
Gm56275	0	0	0	0	0	0	0	0	0	0
Gm2053	0	0	0	0	0	0	0	0	0	0
Gm6123	4	6	1	3	1	4	6	3	4	2
Mrpl15	1475	6	10	7	4	11	5	2	0	3
Gm37144	7	0	0	0	0	1	1	0	0	0
A930006A01Rik	22	0	0	0	0	0	0	0	0	0
Lypla1	722	3	1	1	2	6	2	3	0	0
Gm37988	0	0	0	0	0	0	0	0	0	0
Tcea1	2230	4	10	10	5	11	1	5	3	4
Gm6104	2	0	2	0	0	1	0	0	0	0
Gm37277	164	0	2	0	0	0	0	0	0	0
Rgs20	2035	4	10	9	5	14	2	4	2	4
Gm17100	2	0	0	0	0	0	0	0	0	0
Gm37079	2	0	0	0	0	0	0	0	0	0
Gm16041	2	0	0	0	0	0	0	0	0	0
Gm17101	0	0	0	0	0	0	0	0	0	0
Atp6v1h	5940	16	21	13	15	39	8	11	11	13
Gm7182	0	0	0	0	0	0	0	0	0	0
Gm37567	2	0	0	0	0	0	0	1	0	1
Gm38264	0	0	0	0	0	0	0	0	0	0
Oprk1	86	0	0	0	0	0	0	0	0	0
Gm36965	0	0	0	0	0	0	0	0	0	0
Gm56304	0	0	0	0	0	0	0	0	0	0
Gm37429	0	0	0	0	0	0	0	0	0	0
Npbwr1	94	0	0	0	0	0	0	0	0	0
Gm19214	0	0	0	0	0	0	0	0	0	0
4732440D04Rik	282	0	1	1	1	2	0	1	0	0
Rb1cc1	5924	17	41	15	11	34	7	2	2	10
Alkal1	0	0	0	0	0	0	0	0	0	0
Gm2147	0	0	0	0	0	0	0	1	1	0
Gm7417	0	0	0	0	0	0	0	0	0	0
Gm19026	75	0	2	2	2	3	3	1	0	0
St18	1655	4	5	7	5	12	5	1	0	1
Gm42492	78	1	0	1	0	1	0	0	0	0
Gm7449	0	0	0	0	0	1	0	0	0	0
Gm37108	0	3	5	3	5	3	4	4	1	1
Gm37275	0	0	0	0	0	0	0	0	0	0
Gm37225	0	0	0	0	0	0	0	0	0	0
Gm37489	0	0	0	0	0	0	0	0	0	0
Gm5694	0	0	0	0	0	0	0	0	0	0
Gm57122	6	0	0	0	1	0	0	0	0	0
Pcmtd1	5944	21	32	17	14	28	6	6	3	6
Gm26983	0	0	0	1	2	0	0	1	0	0
Gm38372	191	0	0	1	0	2	0	0	1	0
Gm9826	0	1	0	1	1	1	0	1	0	0
Nras-ps2	0	0	0	0	0	0	0	0	0	0
Gm23274	0	0	0	0	0	0	0	0	0	0
Gm19002	0	0	0	0	0	0	0	0	0	0
Gm26901	60	0	1	1	0	1	0	0	0	0
Gm18984	0	0	0	0	0	0	0	0	0	0
Gm30414	0	0	0	0	0	0	0	0	0	0
Gm37791	0	0	0	0	0	0	0	0	0	0
Gm7470	0	0	0	0	0	0	0	0	0	0
Rps2-ps2	0	1	1	1	0	1	0	1	0	0
Gm38216	0	0	0	0	0	0	0	0	0	0
Sntg1	952	1	6	3	5	14	1	1	0	1
Gm38024	14	0	0	0	0	0	0	0	0	0
Gm16284	2	0	0	0	0	0	0	0	0	0
Gm38259	0	0	0	0	0	0	0	0	0	0
Gm54704	0	0	0	0	0	0	0	0	0	0
Gm37005	0	0	0	0	0	0	0	0	0	0
Gm15452	0	0	0	0	0	0	0	0	0	0
Gm36964	3	5	2	6	4	4	6	4	3	4
Gm54706	0	0	2	1	1	0	0	0	1	0
Gm6152	0	0	0	0	0	0	0	0	0	1
Gm7445	0	0	0	0	0	0	0	1	0	1
Gm7493	4	0	0	0	1	1	0	3	0	1
Gm37629	0	0	0	0	0	0	0	0	0	0
Gm38008	0	0	0	0	0	0	0	0	0	0
Gm37143	0	0	0	0	0	0	0	0	0	0
Gm6187	4	0	0	2	0	0	1	0	0	0
Gm18299	0	0	0	0	0	0	0	0	0	0
Gm7512	0	0	0	0	0	0	0	0	0	1
Gm24765	0	0	0	0	0	0	0	0	0	0
Gm18300	0	0	0	0	0	0	0	0	0	0
Rrs1	878	3	13	5	6	8	2	2	2	1
Adhfe1	1721	9	12	13	7	16	1	2	2	2
2610203C22Rik	141	0	0	0	0	0	0	0	1	0
Gm6161	5	2	4	3	6	2	1	4	6	5
Vxn	14524	18	89	27	41	68	19	10	11	19
Gm29520	0	0	0	0	0	0	0	0	0	0
Mybl1	128	0	1	0	1	2	0	0	0	0
Vcpip1	3338	3	19	12	11	14	8	5	1	6
1700034P13Rik	11	0	0	0	0	0	0	0	0	0
Sgk3	851	3	2	1	2	5	0	0	0	1
Gm6195	4	0	0	1	0	0	0	0	0	0
Gm54812	0	0	0	0	0	0	0	0	0	0
Snhg6	1290	5	13	8	8	7	0	2	1	2
Mcmdc2	124	1	1	1	0	0	0	0	0	0
Snord87	0	0	0	0	0	0	0	0	0	0
Tcf24	36	0	0	0	0	0	0	0	0	0
E330040D14Rik	0	0	0	0	0	0	0	0	0	0
Ppp1r42	47	0	0	0	0	0	0	0	0	0
Gm15818	0	0	0	0	0	0	0	0	0	0
Gm57177	0	0	0	0	0	0	0	0	0	0
Gm24674	2	0	0	0	0	0	0	0	0	0
Cops5	3673	14	21	9	15	27	5	4	5	3
Cspp1	2103	8	12	4	7	12	0	5	2	2
1700047N06Rik	0	0	0	0	0	0	0	0	0	0
Arfgef1	6451	9	31	16	15	39	4	8	7	10
Gm54899	2	0	0	0	0	0	0	0	0	0
Gm37569	0	0	0	0	0	0	0	0	0	0
Cpa6	42	0	0	0	0	1	0	0	0	2
Gm38005	0	0	0	0	0	0	0	0	0	0
Gm15604	0	3	1	4	3	1	3	3	1	4
Gm25253	0	0	0	0	0	0	0	0	0	0
Gm15603	0	0	0	0	0	0	0	0	0	0
Gm37133	0	0	0	0	0	0	0	0	0	0
Gm5522	0	0	0	0	0	0	0	0	0	0
Gm28659	0	0	0	0	1	1	1	1	0	0
Gm54912	0	0	0	0	0	0	0	0	0	0
Prex2	8520	14	48	17	23	38	9	4	3	5
Gm24173	0	0	0	0	0	0	0	0	0	0
Gm28686	0	0	0	0	0	0	0	0	0	0
Gm37410	0	0	0	0	0	0	0	0	0	0
A830018L16Rik	4076	5	20	5	10	23	2	3	2	6
Gm38178	0	0	0	0	0	0	0	0	0	0
Gm29273	0	0	0	0	0	0	0	0	0	0
Gm38069	0	0	0	0	0	0	0	0	0	0
Gm7560	0	2	0	3	0	2	0	1	0	1
Gm22633	0	0	0	0	0	0	0	0	1	0
Mir6341	0	0	0	0	0	0	0	0	0	0
Gm2383	0	1	1	5	0	2	3	1	2	0
Gm6216	0	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	0	0	0	0
Gm29663	0	0	0	0	0	0	0	0	0	0
Sulf1	627	12	4	18	2	29	1	0	2	6
Slco5a1	95	1	1	0	0	2	0	0	1	0
Gm37162	0	0	0	0	0	0	0	0	0	0
Gm5250	0	0	0	0	0	0	0	0	0	0
Gm29283	0	0	0	0	0	0	0	0	0	0
Prdm14	0	0	0	0	0	0	0	0	0	0
Ncoa2	5287	5	28	18	17	33	8	7	9	5
Gm38376	2	0	0	0	0	0	0	0	0	0
Gm37409	0	0	0	0	0	0	0	0	0	0
Gm55160	0	0	0	0	0	0	0	0	0	0
Gm38223	0	0	0	0	0	0	0	0	0	0
Gm37702	0	0	0	0	1	0	0	0	0	0
Gm23169	0	0	0	0	0	0	0	0	0	0
Gm38120	2	0	0	0	0	0	0	0	0	0
Gm38380	2	0	0	1	0	0	0	0	0	0
Gm29570	2	0	0	0	0	0	0	0	0	0
Gm7593	0	0	0	0	0	0	0	1	0	0
Tram1	1913	7	11	6	6	13	2	4	1	1
Gm57152	2	0	0	0	0	0	0	0	0	0
Lactb2	743	1	10	4	5	8	0	1	0	2
Gm38319	4	0	0	0	0	0	0	0	0	0
Xkr9	0	0	0	0	0	0	0	0	0	0
