	JvRad_Rhipp_204	JvRad_Rhipp_504	JvRad_Rhipp_503	JvRad_Rhipp_402	JvRad_Rhipp_401	JvRad_Rhipp_400	JvRad_Rhipp_203	JvRad_Rhipp_202	JvRad_Rhipp_201	JvRad_Rhipp_200
Csrp1	126.865934878126	190.821214261547	194.481549288284	174.293116436153	174.126624303896	145.453942349511	125.633576786285	115.18286282468	112.840638337525	126.925661516867
Hspa5	142.342581616925	96.1502242403145	72.4219995257626	85.3680570299527	68.4068881193878	73.4262689745126	210.436241117027	129.580720677765	131.647411393779	185.744870512488
Cenpb	88.0374910953231	99.108692678478	109.039864454519	118.566745874934	124.376160217069	116.782732559463	78.5209854914281	80.6280039772761	65.8237056968893	80.489443888745
Snap25	565.679039799548	399.393239152076	359.668806633562	311.830541651077	343.278202199109	313.285414291254	684.702993485253	552.877741558465	282.101595843811	665.585786003083
Bcas1	106.214189367335	180.466574727975	183.089324643782	151.765434719916	131.838729830093	139.859559951453	65.9576278127996	95.0258618303611	119.109562689609	83.5851917306198
Rps21	80.052879241475	119.817971745623	148.098920378526	115.009743498686	99.5009281736549	132.86658195388	25.126715357257	74.8688608360421	53.2858569927199	49.5319654699969
Rps27	81.475879373844	124.255674402868	172.51083033103	142.280095049921	109.45102099102	144.055346749996	56.5351095538282	100.785004971595	75.2270922250164	40.2447219443725
Dnaja1	59.6808687994406	34.0223870388805	38.2453255922566	52.1693681849711	28.6065168499258	31.4684009890768	69.0984672324567	66.2301461241911	40.7480082885505	92.8724352562442
Rps8	101.142470946841	100.58792689756	169.255909004029	167.179111683657	152.982677066994	140.55885775121	100.506861429028	106.544148112829	87.7649409291858	92.8724352562442
Rpl11	86.1705635712322	134.61031393644	148.098920378526	154.136769637415	121.888637012727	140.55885775121	75.3801460717709	115.18286282468	106.57171398544	95.968183098119
Ywhah	150.187325936395	137.568782374604	103.343752132268	130.423420462428	133.082491432263	106.992563362861	320.365620805026	239.004440361211	128.512949217736	272.425810084983
