	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	description	symbol	entrez	ensembl
Csrp1	148.662512098287	0.518208979133577	0.167728174067259	3.08957622662591	0.0020044226393125	0.255838253763501	cysteine and glycine-rich protein 1	Csrp1	13007	ENSMUSG00000026421
Hspa5	119.552526320792	-1.00730976055649	0.209905727358043	-4.79886744032613	1.59565355089123e-06	0.00453644304518377	heat shock protein 5	Hspa5	14828	ENSMUSG00000026864
Cenpb	96.1373825934124	0.491910726455006	0.186540441425234	2.63701920450406	0.008363809636998	0.485271648938476	centromere protein B	Cenpb	12616	ENSMUSG00000068267
Snap25	447.840336061724	-0.673072599845063	0.231235485163598	-2.91076691524602	0.00360542869185312	0.353456336928911	synaptosomal-associated protein 25	Snap25	20614	ENSMUSG00000027273
Bcas1	125.691205730394	0.716100072847474	0.209303618018104	3.42134588798907	0.000623120287966209	0.220355937610482	brain enriched myelin associated protein 1	Bcas1	76960	ENSMUSG00000013523
Rps21	89.816042364786	1.05105987388994	0.284840432084678	3.6899953640622	0.000224258138759261	0.10626098141543	ribosomal protein S21	Rps21	66481	ENSMUSG00000039001
Rps27	104.682077559349	0.94063974036593	0.250131766245213	3.76057689307558	0.000169521954494402	0.0963901833255169	ribosomal protein S27	Rps27	57294	ENSMUSG00000090733
Dnaja1	51.3141924355994	-0.81865371093269	0.280534877602478	-2.91818870412518	0.00352071215764492	0.353456336928911	DnaJ heat shock protein family (Hsp40) member A1	Dnaja1	15502	ENSMUSG00000028410
Rps8	121.939533907758	0.577036633334436	0.20370318727448	2.83273247245222	0.00461519936529191	0.419565240438954	ribosomal protein S8	Rps8	20116	ENSMUSG00000047675
Rpl11	117.856696826756	0.574681637976764	0.183856385580398	3.12570942892523	0.00177376719387101	0.255838253763501	ribosomal protein L11	Rpl11	67025	ENSMUSG00000059291
Ywhah	172.190715616978	-0.84910735223369	0.269098447863118	-3.15537811152892	0.00160290225763127	0.255838253763501	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	Ywhah	22629	ENSMUSG00000018965
Rpl9	203.203332513298	0.726939074673756	0.220565769511788	3.29579279814271	0.000981443717678045	0.220355937610482	ribosomal protein L9	Rpl9	20005	ENSMUSG00000047215
Atp5me	47.5576356173441	0.866606510736472	0.28312213991331	3.06089276875988	0.00220678111975117	0.26141161347719	ATP synthase membrane subunit e	Atp5me	11958	ENSMUSG00000050856
Ywhag	318.524517083579	-0.433206751079242	0.151686288634366	-2.85593876005147	0.00429097890296546	0.406641767371027	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide	Ywhag	22628	ENSMUSG00000051391
Gnb2	83.5239571589539	0.532190083996703	0.201665395953219	2.63897572253871	0.0083156935799165	0.485271648938476	guanine nucleotide binding protein (G protein), beta 2	Gnb2	14693	ENSMUSG00000029713
Hsph1	79.4387056396779	-0.809909912287219	0.241617678667789	-3.35203084787848	0.000802210796057798	0.220355937610482	heat shock 105kDa/110kDa protein 1	Hsph1	15505	ENSMUSG00000029657
Rps5	95.5202893589526	0.684136995438203	0.20937789749415	3.26747476035439	0.00108511541559857	0.220355937610482	ribosomal protein S5	Rps5	20103	ENSMUSG00000012848
Eml2	93.026938584887	0.677589637077984	0.218977766887567	3.09433074740364	0.00197257447597722	0.255838253763501	echinoderm microtubule associated protein like 2	Eml2	72205	ENSMUSG00000040811
Cadm4	75.9201639396299	0.794390564711661	0.26367291209284	3.01278792124067	0.00258859750167389	0.294375307890355	cell adhesion molecule 4	Cadm4	260299	ENSMUSG00000054793
