"","logFC","AveExpr","t","P.Value","adj.P.Val","B","logFC","AveExpr","t","P.Value","adj.P.Val","B","logFC","AveExpr","t","P.Value","adj.P.Val","B","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Q13286",0.0474983866666712,13.5041714688889,0.576907966262545,0.574037447549651,0.674315358511643,-8.61938402673565,-0.89773806,13.5041714688889,-10.9037858920478,7.80221261931293e-08,2.09962584841016e-07,7.15395068389105,0.0931244233333306,13.5041714688889,1.13107466263273,0.278831321208755,0.342361487787474,-8.16388122961007,-0.713834816666669,13.5041714688889,-8.67012589755032,1.04919376684924e-06,2.31931355071593e-06,4.29708638227771
"A0A024QZP7",0.655790323333335,22.7137359483333,12.5959182343479,1.43294129474501e-08,5.90488617965521e-08,9.0588106160693,-0.990069126666668,22.7137359483333,-19.0164894511667,9.62508235919006e-11,4.93038748351032e-10,14.321304207547,0.587581083333333,22.7137359483333,11.2858073966338,5.2250605975167e-08,1.85210516088103e-07,7.65197380323444,-0.975649699999998,22.7137359483333,-18.7395321481733,1.15371320934405e-10,5.71340308277494e-10,14.0477153961307
"A0A024QZW4",-0.685821913333333,6.59359572333333,-5.7728852057392,6.9450153979528e-05,0.000144533241300694,0.0352985099355401,-1.79364032666667,6.59359572333333,-15.0979131825999,1.626240272309e-09,6.0524358600878e-09,11.2951774813902,0,6.59359572333333,0,1,1,-8.82109713133723,0,6.59359572333333,0,1,1,-8.97770170146483
"A0A024QZX5",-0.289770189999999,22.2932467033333,-6.08467927647915,4.19532859770945e-05,9.01592251526983e-05,0.565815065705097,-1.25919927333334,22.2932467033333,-26.4410349574226,1.58273041750082e-12,1.39152478631826e-11,18.7098546152115,-0.096857696666671,22.2932467033333,-2.03384626857303,0.0633000293869458,0.0860033833919902,-6.88969929895061,-0.984485810000006,22.2932467033333,-20.6725212351721,3.42132153258505e-11,1.95671944621177e-10,15.349212302102
"A0A024R0K5",0,1.93137530611111,0,1,1,-8.79649461488468,0,1.93137530611111,0,1,1,-8.89253828904083,0,1.93137530611111,0,1,1,-8.82109713133723,11.5882518366667,1.93137530611111,117.560674430535,9.42130463427607e-21,8.89057113987852e-18,38.0349955320633
"A0A087WTV5",0,8.026885295,0,1,1,-8.79649461488468,0,8.026885295,0,1,1,-8.89253828904083,0.918143816666669,8.026885295,6.30569425447594,2.95901705770102e-05,6.35421791935645e-05,0.90956364342097,1.11126486333334,8.026885295,7.63202489274729,4.17665078532968e-06,8.47200743248268e-06,2.8276281779347
"Q9Y3E1",-1.50989468666666,15.6657569866667,-18.1998653581404,1.65427667775471e-10,1.12823585744288e-09,13.8308398243102,-1.89042283333333,15.6657569866667,-22.7866495196274,1.01815705259343e-11,6.92397753207783e-11,16.7232435309617,-1.11735279666667,15.6657569866667,-13.4682707585184,6.44640213446903e-09,2.86495517153561e-08,9.88956546736786,-1.36077920333333,15.6657569866667,-16.4024673386322,5.92738018111526e-10,2.43783243962285e-09,12.2947059217513
"A0A024R368",0,0,0,1,1,-8.79649461488468,0,0,0,1,1,-8.89253828904083,0,0,0,1,1,-8.82109713133723,0,0,0,1,1,-8.97770170146483
"A0A024R4E5",-0.698218809999997,24.2268867627778,-17.5709226010423,2.55008495423239e-10,1.63826562150497e-09,13.3681250233473,-1.53411465666666,24.2268867627778,-38.6065363856563,1.33736050439869e-14,2.92737184635517e-13,23.7753469041841,-0.738367806666673,24.2268867627778,-18.5812862618834,1.28100465230077e-10,9.08903300918164e-10,14.0815999411816,-1.54305564000001,24.2268867627778,-38.8315393845406,1.24249122175846e-14,2.75599189242514e-13,23.79087887661
"A0A087WZA9",-0.384980536666664,10.8585388833333,-0.195549416480692,0.848041904629727,0.955608318431772,-8.7759121128478,-1.22937555333333,10.8585388833333,-0.624456691165442,0.543330412576294,0.629708678221952,-8.68547477515675,0.21852749,10.8585388833333,0.111000217113549,0.913342836711568,0.99942141584854,-8.81445851103934,-4.40641623,10.8585388833333,-2.23822256056968,0.0436963934587744,0.057297123613613,-6.69960267136777
