MajorityproteinIDs,Fastaheaders,Score,id,UniProt ID,genesymbol,description,s200,s201,s202,s203,s204,s400,s401,s402,s503,s504,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR
A0A087WRT9;A0A087WRF5;Q810R0;A0A087WRK1;A0A087WSS9;A0A087WSS0;A0A087WS97;A0A087WS79;A0A087WRP6;A0A087WRL2;A0A087WRK3;A0A087WR99;A0A0A6YX04;A0A087WR14;A0A087WQL3;A0A087WQC7;A0A087WQA3;A0A087WPP3;A0A087WPJ9;A0A087WP44;A0A087WNW5;A0A087WP28,"tr|A0A087WRT9|A0A087WRT9_MOUSE Predicted gene 28490 OS=Mus musculus OX=10090 GN=Gm29582 PE=3 SV=1;tr|A0A087WRF5|A0A087WRF5_MOUSE Predicted gene 28891 OS=Mus musculus OX=10090 GN=Gm21739 PE=3 SV=1;tr|Q810R0|Q810R0_MOUSE Predicted gene, 21627 OS=Mus musculus",1.9096,0,A0A087WRT9,Gm29582,Predicted gene 28490,16.90242282,16.66736479,16.72631964,16.50623354,16.73856729,17.0741002,16.62084573,16.58325622,16.56929112,16.9464644,-0.050609915,-0.306012966,0.204793135,16.73348658,-0.439975244,-4.990352828,0.669073584,0.999980519,0,0
A0A0A6YVU8;Q9JKV1,tr|A0A0A6YVU8|A0A0A6YVU8_MOUSE Adhesion regulating molecule 1B OS=Mus musculus OX=10090 GN=Adrm1b PE=3 SV=1;sp|Q9JKV1|ADRM1_MOUSE Proteasomal ubiquitin receptor ADRM1 OS=Mus musculus OX=10090 GN=Adrm1 PE=1 SV=2,97.083,2,A0A0A6YVU8,Adrm1b,Adhesion regulating molecule 1B,16.44375215,16.25436571,16.62787543,16.60605159,16.3438755,16.5306935,16.54797125,16.62250625,16.47606216,16.43721636,-0.067705827,-0.24466546,0.109253806,16.48903699,-0.848492403,-4.827383942,0.415336808,0.999980519,0,0
A0A0A6YW67;P62984;P62983;P0CG49;P0CG50,tr|A0A0A6YW67|A0A0A6YW67_MOUSE Predicted pseudogene 8797 OS=Mus musculus OX=10090 GN=Gm8797 PE=4 SV=1;sp|P62984|RL40_MOUSE Ubiquitin-ribosomal protein eL40 fusion protein OS=Mus musculus OX=10090 GN=Uba52 PE=1 SV=2;sp|P62983|RS27A_MOUSE Ubiquitin-ribosomal,18.751,3,A0A0A6YW67,Gm8797,Predicted pseudogene 8797,21.8889962,21.73165468,21.61906991,21.64921398,21.83415037,21.93751773,21.69827896,21.81410008,21.63406537,21.76694726,-0.025564852,-0.192562699,0.141432995,21.75739945,-0.339491205,-5.015632418,0.741021177,0.999980519,0,0
A0A0J9YTR2,tr|A0A0J9YTR2|A0A0J9YTR2_MOUSE RIKEN cDNA 0610012G03 gene OS=Mus musculus OX=10090 GN=Ncbp2as2 PE=1 SV=1,3.9046,4,A0A0J9YTR2,Ncbp2as2,RIKEN cDNA 0610012G03 gene,12.91973531,12.82832594,12.94671988,12.6989723,13.12926674,12.74814322,12.94665213,12.5534684,12.94273163,12.67175846,0.132053264,-0.089355257,0.353461785,12.8385774,1.322930952,-4.538078882,0.214354687,0.999980519,0,0
A0A140LIW3,tr|A0A140LIW3|A0A140LIW3_MOUSE FERM and PDZ domain containing 3 OS=Mus musculus OX=10090 GN=Frmpd3 PE=1 SV=1,1.9202,6,A0A140LIW3,Frmpd3,FERM and PDZ domain containing 3,10.87297455,12.0472301,12.30823667,12.01984337,12.02989971,12.00615211,12.11231116,12.03201385,12.08987385,12.51794691,-0.296022695,-0.830663484,0.238618094,12.00364823,-1.230397189,-4.601260443,0.24616578,0.999980519,0,0
A0A1W2P872,sp|A0A1W2P872|NOVA2_MOUSE RNA-binding protein Nova-2 OS=Mus musculus OX=10090 GN=Nova2 PE=1 SV=1,30.171,9,A0A1W2P872,Nova2,RNA-binding protein Nova-2,17.25639041,17.50409653,17.45803468,17.60947004,17.37740925,17.4666438,17.50175286,17.54679717,17.24964721,17.3993092,0.008250134,-0.168044081,0.184544349,17.43695512,0.103781286,-5.049712077,0.919324432,0.999980519,0,0
A0A1Y7VP24;Q9QZ73,tr|A0A1Y7VP24|A0A1Y7VP24_MOUSE DCN1-like protein OS=Mus musculus OX=10090 GN=Tes3-ps PE=4 SV=1;sp|Q9QZ73|DCNL1_MOUSE DCN1-like protein 1 OS=Mus musculus OX=10090 GN=Dcun1d1 PE=2 SV=1,2.1073,10,A0A1Y7VP24,Tes3-ps,DCN1-like protein,16.26556763,16.44934852,16.46164934,16.38858575,16.39025008,15.66592582,16.46038552,16.36324979,16.57347328,16.35464426,0.107544531,-0.224387374,0.439476435,16.337308,0.71998217,-4.888351878,0.487704203,0.999980519,0,0
A0A286YCV9,tr|A0A286YCV9|A0A286YCV9_MOUSE Kinesin family member 13B OS=Mus musculus OX=10090 GN=Kif13b PE=1 SV=1,13.935,11,A0A286YCV9,Kif13b,Kinesin family member 13B,14.87159034,14.51333439,14.46569888,14.83160665,14.89530038,14.83802113,14.84543741,14.58807236,14.93138339,14.93671855,-0.112420441,-0.348778291,0.123937408,14.77171635,-1.055469396,-4.712315379,0.315314162,0.999980519,0,0
A0A286YCX6,tr|A0A286YCX6|A0A286YCX6_MOUSE Trafficking protein particle complex 8 OS=Mus musculus OX=10090 GN=Trappc8 PE=1 SV=2,46.891,12,A0A286YCX6,Trappc8,Trafficking protein particle complex 8,17.18973828,17.21471394,17.07493948,17.20058616,17.17715958,17.16782427,17.17581334,17.12987116,17.17817267,17.13131415,0.014828369,-0.08648962,0.116146358,17.1640133,0.324565934,-5.018844693,0.75196791,0.999980519,0,0
A0A2I3BPG9;P83882,"tr|A0A2I3BPG9|A0A2I3BPG9_MOUSE Ribosomal protein L36A, pseudogene 1 OS=Mus musculus OX=10090 GN=Rpl36a-ps1 PE=3 SV=1;sp|P83882|RL36A_MOUSE Large ribosomal subunit protein eL42 OS=Mus musculus OX=10090 GN=Rpl36a PE=1 SV=2",2.6205,13,A0A2I3BPG9,Rpl36a-ps1,"Ribosomal protein L36A, pseudogene 1",9.674417955,11.73567866,10.3306013,11.4229947,9.958337941,10.32675833,10.71835171,10.52199616,9.463146429,10.31141382,0.35607282,-0.552389043,1.264534683,10.4463697,0.870992738,-4.815687683,0.403789702,0.999980519,0,0
